image,noise_type,strength_luma,strength_chroma,psnr,ssim,output_path
girl.bmp,salt_pepper,0.5,0.9,28.554075143065756,0.5965817000998495,output/Additional\girl_salt_pepper_luma0.50_chroma0.90.png
girl.bmp,salt_pepper,0.9,0.1,28.4497420337518,0.5639404713484015,output/Additional\girl_salt_pepper_luma0.90_chroma0.10.png
girl.bmp,salt_pepper,0.9,0.5,28.379318650549948,0.5645643494613592,output/Additional\girl_salt_pepper_luma0.90_chroma0.50.png
girl.bmp,salt_pepper,0.9,0.9,28.374490467041113,0.5653517287232934,output/Additional\girl_salt_pepper_luma0.90_chroma0.90.png
girl.bmp,gaussian,0.1,0.1,31.764320445149494,0.7883818011769729,output/Additional\girl_gaussian_luma0.10_chroma0.10.png
girl.bmp,gaussian,0.1,0.5,30.788266202125868,0.7857263608328529,output/Additional\girl_gaussian_luma0.10_chroma0.50.png
girl.bmp,gaussian,0.1,0.9,30.547991248326014,0.785348990891584,output/Additional\girl_gaussian_luma0.10_chroma0.90.png
girl.bmp,gaussian,0.5,0.1,29.74884642051108,0.633692310131991,output/Additional\girl_gaussian_luma0.50_chroma0.10.png
girl.bmp,gaussian,0.5,0.5,29.565090304578646,0.6334275278771705,output/Additional\girl_gaussian_luma0.50_chroma0.50.png
girl.bmp,gaussian,0.5,0.9,29.454388909092945,0.6330367432858816,output/Additional\girl_gaussian_luma0.50_chroma0.90.png
girl.bmp,gaussian,0.9,0.1,29.18860150646131,0.5938438810207664,output/Additional\girl_gaussian_luma0.90_chroma0.10.png
girl.bmp,gaussian,0.9,0.5,29.113893616651147,0.5940853090533992,output/Additional\girl_gaussian_luma0.90_chroma0.50.png
girl.bmp,gaussian,0.9,0.9,29.07971192324892,0.5951045272502954,output/Additional\girl_gaussian_luma0.90_chroma0.90.png
houses.bmp,salt_pepper,0.1,0.1,29.42443243266226,0.42595783572077456,output/Additional\houses_salt_pepper_luma0.10_chroma0.10.png
houses.bmp,salt_pepper,0.1,0.5,36.09621698467267,0.35013052411941553,output/Additional\houses_salt_pepper_luma0.10_chroma0.50.png
