image,noise_type,strength_luma,strength_chroma,psnr,ssim,output_path
fingerprint1.pgm,gaussian,0.1,0.9,29.3518946277741,0.8552556305157956,output/Fingerprint\fingerprint1_gaussian_luma0.10_chroma0.90.png
fingerprint1.pgm,gaussian,0.5,0.1,27.948258973988878,0.1767453120838113,output/Fingerprint\fingerprint1_gaussian_luma0.50_chroma0.10.png
fingerprint1.pgm,gaussian,0.5,0.5,27.950961446382273,0.17854076542994735,output/Fingerprint\fingerprint1_gaussian_luma0.50_chroma0.50.png
fingerprint1.pgm,gaussian,0.5,0.9,27.949210595670717,0.18196466676287743,output/Fingerprint\fingerprint1_gaussian_luma0.50_chroma0.90.png
fingerprint1.pgm,gaussian,0.9,0.1,27.91043820384711,0.11296857175980696,output/Fingerprint\fingerprint1_gaussian_luma0.90_chroma0.10.png
fingerprint1.pgm,gaussian,0.9,0.5,27.913478036169096,0.11378436593168587,output/Fingerprint\fingerprint1_gaussian_luma0.90_chroma0.50.png
fingerprint1.pgm,gaussian,0.9,0.9,27.915945923223028,0.11516922823478183,output/Fingerprint\fingerprint1_gaussian_luma0.90_chroma0.90.png
fingerprint2.pgm,salt_pepper,0.1,0.1,29.702439605852543,0.3452160623492234,output/Fingerprint\fingerprint2_salt_pepper_luma0.10_chroma0.10.png
fingerprint2.pgm,salt_pepper,0.1,0.5,35.754302695557165,0.2898260242799194,output/Fingerprint\fingerprint2_salt_pepper_luma0.10_chroma0.50.png
fingerprint2.pgm,salt_pepper,0.1,0.9,35.98391493922017,0.28916158316389684,output/Fingerprint\fingerprint2_salt_pepper_luma0.10_chroma0.90.png
fingerprint2.pgm,salt_pepper,0.5,0.1,27.75423493582022,0.41490333396662826,output/Fingerprint\fingerprint2_salt_pepper_luma0.50_chroma0.10.png
fingerprint2.pgm,salt_pepper,0.5,0.5,27.753987246810766,0.41573014747973974,output/Fingerprint\fingerprint2_salt_pepper_luma0.50_chroma0.50.png
fingerprint2.pgm,salt_pepper,0.5,0.9,34.156603054979456,0.29460219517990427,output/Fingerprint\fingerprint2_salt_pepper_luma0.50_chroma0.90.png
fingerprint2.pgm,salt_pepper,0.9,0.1,27.70882101270152,0.39711149079718716,output/Fingerprint\fingerprint2_salt_pepper_luma0.90_chroma0.10.png
fingerprint2.pgm,salt_pepper,0.9,0.5,27.713801465014,0.39803933539157793,output/Fingerprint\fingerprint2_salt_pepper_luma0.90_chroma0.50.png
fingerprint2.pgm,salt_pepper,0.9,0.9,27.715463506519484,0.3989711398237015,output/Fingerprint\fingerprint2_salt_pepper_luma0.90_chroma0.90.png
fingerprint2.pgm,gaussian,0.1,0.1,30.39440817209005,0.7572652290461428,output/Fingerprint\fingerprint2_gaussian_luma0.10_chroma0.10.png
fingerprint2.pgm,gaussian,0.1,0.5,30.41205311405678,0.7618562857791007,output/Fingerprint\fingerprint2_gaussian_luma0.10_chroma0.50.png
fingerprint2.pgm,gaussian,0.1,0.9,30.43135913132193,0.7668304945819773,output/Fingerprint\fingerprint2_gaussian_luma0.10_chroma0.90.png
fingerprint2.pgm,gaussian,0.5,0.1,29.440168597536186,0.43657354594751346,output/Fingerprint\fingerprint2_gaussian_luma0.50_chroma0.10.png
fingerprint2.pgm,gaussian,0.5,0.5,29.464913987193135,0.43762816326560267,output/Fingerprint\fingerprint2_gaussian_luma0.50_chroma0.50.png
fingerprint2.pgm,gaussian,0.5,0.9,29.49822867696519,0.4397892875402282,output/Fingerprint\fingerprint2_gaussian_luma0.50_chroma0.90.png
fingerprint2.pgm,gaussian,0.9,0.1,29.227978702103172,0.41307044560924433,output/Fingerprint\fingerprint2_gaussian_luma0.90_chroma0.10.png
fingerprint2.pgm,gaussian,0.9,0.5,29.245052835384698,0.41431631567699134,output/Fingerprint\fingerprint2_gaussian_luma0.90_chroma0.50.png
fingerprint2.pgm,gaussian,0.9,0.9,29.254674132625716,0.41513520099346485,output/Fingerprint\fingerprint2_gaussian_luma0.90_chroma0.90.png
