image,noise_type,denoising_method,strength,mu,psnr,ssim,output_path
goldhill.bmp,salt_pepper,Moreau-Yosida,0.3,0.003,29.349159513857103,0.16680651318264902,Testing2\goldhill_salt_pepper_s0.3_m0.003_MoreauYosida.png
goldhill.bmp,salt_pepper,TV,0.4,0.004,28.794653042123286,0.12487436558948965,Testing2\goldhill_salt_pepper_s0.4_m0.004_TV.png
goldhill.bmp,salt_pepper,Moreau-Yosida,0.4,0.004,29.353968423979147,0.1675419450203185,Testing2\goldhill_salt_pepper_s0.4_m0.004_MoreauYosida.png
goldhill.bmp,salt_pepper,TV,0.5,0.005,28.712261357464584,0.10804045333798057,Testing2\goldhill_salt_pepper_s0.5_m0.005_TV.png
goldhill.bmp,salt_pepper,Moreau-Yosida,0.5,0.005,29.375871541544967,0.16980079676245852,Testing2\goldhill_salt_pepper_s0.5_m0.005_MoreauYosida.png
goldhill.bmp,salt_pepper,TV,0.6,0.006,28.68527365460527,0.09722664506043108,Testing2\goldhill_salt_pepper_s0.6_m0.006_TV.png
goldhill.bmp,salt_pepper,Moreau-Yosida,0.6,0.006,29.387357213711315,0.17193478053627112,Testing2\goldhill_salt_pepper_s0.6_m0.006_MoreauYosida.png
goldhill.bmp,salt_pepper,TV,0.7000000000000001,0.007,28.675582317725915,0.08837833640021053,Testing2\goldhill_salt_pepper_s0.7_m0.007_TV.png
goldhill.bmp,salt_pepper,Moreau-Yosida,0.7000000000000001,0.007,29.38820930709003,0.17222697046321805,Testing2\goldhill_salt_pepper_s0.7_m0.007_MoreauYosida.png
goldhill.bmp,salt_pepper,TV,0.8,0.008,28.63724348347729,0.08250880901276576,Testing2\goldhill_salt_pepper_s0.8_m0.008_TV.png
goldhill.bmp,salt_pepper,Moreau-Yosida,0.8,0.008,29.399838361850858,0.17424318366948327,Testing2\goldhill_salt_pepper_s0.8_m0.008_MoreauYosida.png
goldhill.bmp,salt_pepper,TV,0.9000000000000001,0.009000000000000001,28.610963792043925,0.07805520941685032,Testing2\goldhill_salt_pepper_s0.9_m0.009_TV.png
goldhill.bmp,salt_pepper,Moreau-Yosida,0.9000000000000001,0.009000000000000001,29.408500595492786,0.1760641203136618,Testing2\goldhill_salt_pepper_s0.9_m0.009_MoreauYosida.png
goldhill.bmp,salt_pepper,TV,1.0000000000000002,0.010000000000000002,28.574935964258565,0.07409645680168718,Testing2\goldhill_salt_pepper_s1.0_m0.010_TV.png
goldhill.bmp,salt_pepper,Moreau-Yosida,1.0000000000000002,0.010000000000000002,29.401383176033285,0.17591179950355953,Testing2\goldhill_salt_pepper_s1.0_m0.010_MoreauYosida.png
goldhill.bmp,gaussian,TV,0.1,0.001,30.768826990331828,0.30188560343185655,Testing2\goldhill_gaussian_s0.1_m0.001_TV.png
goldhill.bmp,gaussian,Moreau-Yosida,0.1,0.001,31.956884325158207,0.550887510955998,Testing2\goldhill_gaussian_s0.1_m0.001_MoreauYosida.png
goldhill.bmp,gaussian,TV,0.2,0.002,29.976318183628493,0.20407166321537457,Testing2\goldhill_gaussian_s0.2_m0.002_TV.png
goldhill.bmp,gaussian,Moreau-Yosida,0.2,0.002,32.10685708908117,0.5756366743832583,Testing2\goldhill_gaussian_s0.2_m0.002_MoreauYosida.png
goldhill.bmp,gaussian,TV,0.3,0.003,29.5608203499166,0.16061586403225334,Testing2\goldhill_gaussian_s0.3_m0.003_TV.png
goldhill.bmp,gaussian,Moreau-Yosida,0.3,0.003,29.890273188957586,0.1691383227239828,Testing2\goldhill_gaussian_s0.3_m0.003_MoreauYosida.png
goldhill.bmp,gaussian,TV,0.4,0.004,29.255845363572885,0.13468424379124896,Testing2\goldhill_gaussian_s0.4_m0.004_TV.png
goldhill.bmp,gaussian,Moreau-Yosida,0.4,0.004,29.942438448105086,0.17479382482540798,Testing2\goldhill_gaussian_s0.4_m0.004_MoreauYosida.png
goldhill.bmp,gaussian,TV,0.5,0.005,29.015575167230374,0.11678224519942786,Testing2\goldhill_gaussian_s0.5_m0.005_TV.png
goldhill.bmp,gaussian,Moreau-Yosida,0.5,0.005,29.980495660153505,0.1785955017119993,Testing2\goldhill_gaussian_s0.5_m0.005_MoreauYosida.png
goldhill.bmp,gaussian,TV,0.6,0.006,28.91819382072153,0.10425875889599423,Testing2\goldhill_gaussian_s0.6_m0.006_TV.png
goldhill.bmp,gaussian,Moreau-Yosida,0.6,0.006,29.99913865229605,0.18088543596323295,Testing2\goldhill_gaussian_s0.6_m0.006_MoreauYosida.png
goldhill.bmp,gaussian,TV,0.7000000000000001,0.007,28.811465696686447,0.09501769755989944,Testing2\goldhill_gaussian_s0.7_m0.007_TV.png
goldhill.bmp,gaussian,Moreau-Yosida,0.7000000000000001,0.007,30.06336754166851,0.18708901465034508,Testing2\goldhill_gaussian_s0.7_m0.007_MoreauYosida.png
goldhill.bmp,gaussian,TV,0.8,0.008,28.751665758507837,0.08872404259990146,Testing2\goldhill_gaussian_s0.8_m0.008_TV.png
goldhill.bmp,gaussian,Moreau-Yosida,0.8,0.008,30.10542987612952,0.1917452401111842,Testing2\goldhill_gaussian_s0.8_m0.008_MoreauYosida.png
goldhill.bmp,gaussian,TV,0.9000000000000001,0.009000000000000001,28.731491044402414,0.08383620320878173,Testing2\goldhill_gaussian_s0.9_m0.009_TV.png
goldhill.bmp,gaussian,Moreau-Yosida,0.9000000000000001,0.009000000000000001,30.12823614790379,0.19466391935280253,Testing2\goldhill_gaussian_s0.9_m0.009_MoreauYosida.png
goldhill.bmp,gaussian,TV,1.0000000000000002,0.010000000000000002,28.725753568497513,0.07974687190393366,Testing2\goldhill_gaussian_s1.0_m0.010_TV.png
goldhill.bmp,gaussian,Moreau-Yosida,1.0000000000000002,0.010000000000000002,30.167443392286874,0.19948302303596396,Testing2\goldhill_gaussian_s1.0_m0.010_MoreauYosida.png
Malamute.bmp,salt_pepper,TV,0.1,0.001,29.851963767870004,0.32088676882612527,Testing2\Malamute_salt_pepper_s0.1_m0.001_TV.png
Malamute.bmp,salt_pepper,Moreau-Yosida,0.1,0.001,37.59471596724816,0.35833965340417634,Testing2\Malamute_salt_pepper_s0.1_m0.001_MoreauYosida.png
Malamute.bmp,salt_pepper,TV,0.2,0.002,29.185132968234264,0.23679115465961997,Testing2\Malamute_salt_pepper_s0.2_m0.002_TV.png
Malamute.bmp,salt_pepper,Moreau-Yosida,0.2,0.002,37.93867950457282,0.3600449953646204,Testing2\Malamute_salt_pepper_s0.2_m0.002_MoreauYosida.png
Malamute.bmp,salt_pepper,TV,0.3,0.003,28.948795965065823,0.18691710974623013,Testing2\Malamute_salt_pepper_s0.3_m0.003_TV.png
Malamute.bmp,salt_pepper,Moreau-Yosida,0.3,0.003,29.118904724783576,0.19662449057369488,Testing2\Malamute_salt_pepper_s0.3_m0.003_MoreauYosida.png
Malamute.bmp,salt_pepper,TV,0.4,0.004,28.797336639493803,0.15861402647626935,Testing2\Malamute_salt_pepper_s0.4_m0.004_TV.png
