image,strength_luma,strength_chroma,psnr,ssim,output_path
airplane.ppm,0.5,0.9,37.65584052113997,0.9795451082042363,output\airplane_luma0.50_chroma0.90.png
airplane.ppm,0.9,0.1,29.969257744844995,0.67969257309236,output\airplane_luma0.90_chroma0.10.png
airplane.ppm,0.9,0.5,30.31049960383053,0.6800129156928334,output\airplane_luma0.90_chroma0.50.png
airplane.ppm,0.9,0.9,37.16262160942796,0.959473605308853,output\airplane_luma0.90_chroma0.90.png
baboon.ppm,0.1,0.1,28.984091749513844,0.5552092219012422,output\baboon_luma0.10_chroma0.10.png
baboon.ppm,0.1,0.5,28.742896892275553,0.5565534602966509,output\baboon_luma0.10_chroma0.50.png
baboon.ppm,0.1,0.9,28.634297269826305,0.5570760674170807,output\baboon_luma0.10_chroma0.90.png
baboon.ppm,0.5,0.1,28.468090307793645,0.26197054696134825,output\baboon_luma0.50_chroma0.10.png
baboon.ppm,0.5,0.5,28.350510855726814,0.2624594546904976,output\baboon_luma0.50_chroma0.50.png
baboon.ppm,0.5,0.9,28.256670984984076,0.2628375690281622,output\baboon_luma0.50_chroma0.90.png
baboon.ppm,0.9,0.1,28.34523918768808,0.23274624296849059,output\baboon_luma0.90_chroma0.10.png
baboon.ppm,0.9,0.5,28.297935631649157,0.23277353162744943,output\baboon_luma0.90_chroma0.50.png
baboon.ppm,0.9,0.9,28.204717558794293,0.23325205759003054,output\baboon_luma0.90_chroma0.90.png
barbara.ppm,0.1,0.1,30.892098279303667,0.7467906717097026,output\barbara_luma0.10_chroma0.10.png
barbara.ppm,0.1,0.5,30.130862084187953,0.7462925635463102,output\barbara_luma0.10_chroma0.50.png
barbara.ppm,0.1,0.9,29.912880005451058,0.7470005446070067,output\barbara_luma0.10_chroma0.90.png
barbara.ppm,0.5,0.1,29.151729845881825,0.562146720438393,output\barbara_luma0.50_chroma0.10.png
barbara.ppm,0.5,0.5,28.956654745302004,0.56211187035277,output\barbara_luma0.50_chroma0.50.png
barbara.ppm,0.5,0.9,28.902775146124526,0.56341960350114,output\barbara_luma0.50_chroma0.90.png
barbara.ppm,0.9,0.1,28.591586339215468,0.5085454699313745,output\barbara_luma0.90_chroma0.10.png
barbara.ppm,0.9,0.5,28.516588700485496,0.5089587557103741,output\barbara_luma0.90_chroma0.50.png
barbara.ppm,0.9,0.9,28.503470523739963,0.5111481143098515,output\barbara_luma0.90_chroma0.90.png
Boats.ppm,0.1,0.1,32.40877408031859,0.8387905119928255,output\Boats_luma0.10_chroma0.10.png
Boats.ppm,0.1,0.5,31.72337086802674,0.8380859289494349,output\Boats_luma0.10_chroma0.50.png
Boats.ppm,0.1,0.9,39.018154562131514,0.997692144198183,output\Boats_luma0.10_chroma0.90.png
Boats.ppm,0.5,0.1,30.126282878426128,0.6603401650052677,output\Boats_luma0.50_chroma0.10.png
Boats.ppm,0.5,0.5,30.00802679351944,0.6609922106415963,output\Boats_luma0.50_chroma0.50.png
Boats.ppm,0.5,0.9,38.282369373859666,0.9787889876468162,output\Boats_luma0.50_chroma0.90.png
Boats.ppm,0.9,0.1,29.590527825675856,0.6064228730833316,output\Boats_luma0.90_chroma0.10.png
Boats.ppm,0.9,0.5,29.53322521227015,0.6073029053048983,output\Boats_luma0.90_chroma0.50.png
Boats.ppm,0.9,0.9,37.56024024364972,0.9589637420980288,output\Boats_luma0.90_chroma0.90.png
goldhill.ppm,0.1,0.1,31.263482310207763,0.7308335948060563,output\goldhill_luma0.10_chroma0.10.png
goldhill.ppm,0.1,0.5,30.923454130421412,0.7337363805920157,output\goldhill_luma0.10_chroma0.50.png
goldhill.ppm,0.1,0.9,30.91337391650525,0.7419715919444497,output\goldhill_luma0.10_chroma0.90.png
goldhill.ppm,0.5,0.1,29.687521007135423,0.5683201184686036,output\goldhill_luma0.50_chroma0.10.png
goldhill.ppm,0.5,0.5,29.609911738369156,0.5698941546076393,output\goldhill_luma0.50_chroma0.50.png
goldhill.ppm,0.5,0.9,29.60097639870944,0.5725200611802407,output\goldhill_luma0.50_chroma0.90.png
goldhill.ppm,0.9,0.1,29.126969471410966,0.5273953627795167,output\goldhill_luma0.90_chroma0.10.png
goldhill.ppm,0.9,0.5,29.123589930715905,0.528771137232951,output\goldhill_luma0.90_chroma0.50.png
goldhill.ppm,0.9,0.9,29.150197731770056,0.5313379233721063,output\goldhill_luma0.90_chroma0.90.png
lenna.ppm,0.1,0.1,32.54267082917963,0.8292068887773665,output\lenna_luma0.10_chroma0.10.png
lenna.ppm,0.1,0.5,31.138543942080894,0.8272532760145164,output\lenna_luma0.10_chroma0.50.png
lenna.ppm,0.1,0.9,30.65834321988451,0.8280542769899708,output\lenna_luma0.10_chroma0.90.png
lenna.ppm,0.5,0.1,30.398210408523695,0.6992672787141361,output\lenna_luma0.50_chroma0.10.png
